Timestamp (ns);Aggregated CPU Load (%);GPU Busy (%);
3794504020604.000000;30.206127;14.043611;
3794566019196.000000;22.682544;14.771648;
3794629021052.000000;17.195381;13.975019;
3794692020604.000000;18.203837;13.348123;
3794755020924.000000;19.566824;14.451791;
3794817020540.000000;22.194708;15.118357;
3794881020540.000000;24.594066;14.033775;
3794943019900.000000;21.203809;13.258440;
3795005360764.000000;19.403777;14.212943;
3795067402620.000000;20.443975;14.916173;
3795131402876.000000;21.361049;14.006520;
3795194427260.000000;15.108501;13.989090;
3795258402428.000000;17.389791;13.418421;
3795320427900.000000;24.325523;10.415329;
3795382628476.000000;19.351247;11.203107;
3795444918396.000000;12.164465;14.159366;
3795508531324.000000;17.703173;14.462118;
3795571558780.000000;22.776600;14.717385;
3795634320252.000000;18.618569;14.101962;
3795696154236.000000;17.707736;13.676651;
3795759463804.000000;18.978638;14.104541;
3795822423676.000000;22.989787;14.462177;
3795884422268.000000;17.966687;14.052910;
3795947255676.000000;15.641148;13.083564;
3796009348476.000000;17.173689;14.378016;
3796070507388.000000;23.922267;16.001180;
3796132925308.000000;25.890157;14.922742;
3796194377084.000000;13.664093;14.395389;
3796257569916.000000;11.178650;14.434407;
3796318893948.000000;19.107521;14.197307;
3796381895036.000000;22.613307;13.404050;
3796443894652.000000;22.516676;14.519650;
3796505893500.000000;19.340853;15.277725;
3796568146300.000000;16.746636;14.271617;
3796631267708.000000;12.251213;13.260860;
3796693704316.000000;17.668246;14.846334;
3796756331900.000000;25.851130;15.636068;
3796818038396.000000;14.405216;13.753030;
3796879715964.000000;12.610189;14.652355;
3796943745404.000000;12.469783;14.912768;
3797006411900.000000;5.499730;14.264192;
3797069181308.000000;5.929181;14.330006;
3797131560572.000000;8.870295;12.773432;
3797193561468.000000;8.190870;14.791002;
3797255264636.000000;6.129139;16.469656;
3797317309564.000000;9.341788;13.813685;
3797379414396.000000;12.365476;14.705346;
3797440905852.000000;9.936971;15.357500;
3797503601532.000000;9.348537;14.488040;
3797566525820.000000;17.401764;12.969415;
3797629547388.000000;20.600693;14.562522;
3797690790524.000000;18.213259;15.981380;
3797751801980.000000;20.485490;13.144841;
3797814950268.000000;22.003008;14.509758;
3797877949820.000000;22.887525;15.748933;
3797941380988.000000;15.594129;14.556189;
3798003126652.000000;10.786354;13.473184;
3798064561788.000000;10.094810;14.557131;
3798126604412.000000;14.430866;15.568231;
3798189602684.000000;20.479790;14.191118;
3798251597948.000000;19.395912;14.294805;
3798315590012.000000;18.774673;14.579277;
3798377158012.000000;19.962871;14.211803;
3798438669692.000000;21.165780;13.317191;
3798500783484.000000;23.895760;14.686440;
3798562783612.000000;22.020574;15.362047;
3798625783420.000000;16.311012;14.207236;
3798688783484.000000;22.143309;13.875382;
3798752782716.000000;22.982635;14.645674;
3798815110524.000000;12.320994;15.124501;
3798876871548.000000;5.721934;14.520770;
3798938841980.000000;5.609957;14.416671;
3798999534460.000000;7.370749;14.359892;
3799061487228.000000;12.544051;14.392563;
3799123721852.000000;19.594349;13.808934;
3799186861180.000000;26.852502;14.731195;
3799249850492.000000;21.871806;14.988646;
3799311159676.000000;13.467984;14.342850;
3799372991612.000000;11.550434;13.205225;
3799436827772.000000;15.602314;14.434609;
3799498806652.000000;25.131975;15.370013;
3799562735228.000000;30.151160;14.557539;
3799623909756.000000;18.956332;14.050874;
3799686014588.000000;6.047532;14.919545;
3799747953788.000000;7.237205;15.856150;
3799809413244.000000;9.304475;13.523185;
3799871248252.000000;11.059286;13.663083;
3799934383228.000000;18.338965;15.343436;
3799995324284.000000;19.257370;15.452288;
3800057128572.000000;11.522748;14.679812;
3800118915708.000000;8.413443;14.433784;
3800179828604.000000;8.070673;14.504049;
3800242055548.000000;8.753219;14.443367;
3800303809660.000000;9.091560;14.332046;
3800365093500.000000;14.044517;14.519405;
3800426670204.000000;16.203327;13.275439;
3800488469884.000000;10.739848;14.750553;
3800551401084.000000;10.571899;16.076768;
3800613362300.000000;12.914958;13.821964;
3800675610492.000000;11.385054;14.433343;
3800738672508.000000;12.305972;15.152104;
3800802439036.000000;11.645361;14.265126;
3800865268604.000000;7.672301;13.932043;
3800928212348.000000;8.400873;12.880808;
3800990619772.000000;8.699732;14.699503;
3801052462460.000000;13.104665;15.760470;
3801113888636.000000;18.048677;12.955731;
3801177288060.000000;12.335232;13.528715;
3801238041468.000000;17.247466;15.710014;
3801301349244.000000;28.818854;15.183197;
3801363352188.000000;22.408878;13.466534;
3801426349436.000000;15.381716;14.727741;
3801488082300.000000;13.608506;15.481110;
3801550006652.000000;14.403854;14.237403;
3801611656316.000000;20.232592;14.291884;
3801673825660.000000;22.998909;14.382651;
3801736834172.000000;22.317787;14.174144;
3801799805052.000000;21.999725;13.440239;
3801863818620.000000;22.745244;14.601580;
3801927834492.000000;21.659218;15.473797;
3801988791676.000000;13.447115;14.532061;
3802051062908.000000;8.886659;14.407963;
3802113653116.000000;19.399984;14.393562;
3802175598972.000000;18.637102;14.511208;
3802239531388.000000;12.261950;14.278009;
3802300811900.000000;18.527621;13.430883;
3802363481980.000000;14.312856;14.509607;
3802426046588.000000;7.227702;15.391708;
3802488031100.000000;8.467953;14.070148;
3802549979516.000000;9.652988;14.591843;
3802612319612.000000;14.044396;14.932520;
3802672861052.000000;12.325075;14.321706;
3802736037500.000000;14.500919;13.621225;
3802799095676.000000;14.122175;14.649542;
3802861112956.000000;9.518585;15.394290;
3802922595964.000000;10.523825;13.938338;
3802983059836.000000;8.911835;14.179446;
3803044946556.000000;19.714562;14.675665;
3803106366588.000000;23.675034;14.800675;
3803169326460.000000;12.701404;13.485841;
3803232690300.000000;15.279268;14.729752;
3803293824380.000000;16.857400;16.093293;
3803356166012.000000;8.603528;13.845010;
3803418142844.000000;9.680382;14.474326;
3803479242620.000000;10.933799;15.028431;
3803541465724.000000;10.105235;14.160022;
3803604454524.000000;16.432923;14.498316;
3803666664316.000000;16.190118;14.727078;
3803729934716.000000;15.488160;14.410913;
3803791826300.000000;15.239923;13.650289;
3803854425724.000000;14.498578;15.116528;
3803917398652.000000;18.143880;15.746881;
3803980997244.000000;23.615532;14.549604;
3804044995964.000000;23.653043;14.586150;
3804106997372.000000;14.511753;13.713328;
3804169862012.000000;8.898561;14.674137;
3804232829820.000000;19.851686;15.447253;
3804296362876.000000;20.388153;14.651196;
3804359214972.000000;10.544133;14.037060;
3804422151548.000000;9.408676;14.814707;
3804484686716.000000;6.521252;15.454083;
3804548084348.000000;7.517518;14.533127;
3804608906364.000000;11.605618;13.835706;
3804671181692.000000;12.806204;14.796293;
3804734010236.000000;8.539431;15.610809;
3804796814972.000000;9.305400;14.689030;
3804858382204.000000;10.223576;14.429154;
